Date,Open,High,Low,Close,Adj Close,Volume
2014-07-11,47.320000,47.919998,46.209999,47.240002,47.240002,1280200
2014-07-14,47.570000,49.250000,47.500000,48.029999,48.029999,1602200
2014-07-15,47.910000,48.279999,46.070000,46.380001,46.380001,2163500
2014-07-16,47.290001,47.430000,46.220001,46.540001,46.540001,1270400
2014-07-17,46.000000,46.869999,45.529999,45.779999,45.779999,1798300
2014-07-18,46.240002,47.020000,45.980000,46.430000,46.430000,1366400
2014-07-21,46.220001,46.970001,45.400002,46.090000,46.090000,1323100
2014-07-22,46.610001,47.799999,46.369999,46.790001,46.790001,1346300
2014-07-23,46.619999,47.689999,46.459999,47.330002,47.330002,976500
2014-07-24,47.330002,48.209999,46.869999,47.919998,47.919998,1656300
2014-07-25,47.610001,48.580002,47.060001,47.880001,47.880001,1107500
2014-07-28,47.880001,48.220001,46.459999,47.189999,47.189999,1273900
2014-07-29,47.380001,48.250000,46.709999,47.759998,47.759998,1064300
2014-07-30,47.869999,50.970001,47.389999,50.389999,50.389999,2748600
2014-07-31,49.380001,49.560001,46.950001,47.020000,47.020000,2328900
2014-08-01,47.099998,47.240002,43.520000,44.270000,44.270000,3810100
2014-08-04,44.590000,45.520000,43.900002,45.400002,45.400002,1492100
2014-08-05,45.060001,45.750000,43.610001,44.110001,44.110001,1830000
2014-08-06,43.000000,43.220001,41.770000,42.270000,42.270000,2971500
2014-08-07,42.680000,42.720001,41.320000,41.849998,41.849998,2906100
2014-08-08,41.990002,42.400002,40.709999,41.070000,41.070000,2608900
2014-08-11,41.299999,42.360001,40.889999,41.930000,41.930000,2225100
2014-08-12,42.020000,42.369999,40.799999,41.049999,41.049999,1172800
2014-08-13,41.580002,42.419998,41.009998,42.360001,42.360001,1742100
2014-08-14,42.880001,42.990002,42.049999,42.799999,42.799999,1913600
2014-08-15,42.970001,43.470001,42.400002,42.750000,42.750000,1741700
2014-08-18,43.169998,43.770000,43.090000,43.480000,43.480000,1163500
2014-08-19,43.709999,44.439999,43.630001,44.180000,44.180000,984500
2014-08-20,43.840000,43.880001,42.790001,42.900002,42.900002,2102700
2014-08-21,43.130001,43.770000,42.150002,42.209999,42.209999,2085600
2014-08-22,42.110001,44.029999,40.900002,43.950001,43.950001,2541800
2014-08-25,44.570000,44.570000,43.250000,43.680000,43.680000,1730900
2014-08-26,43.720001,46.810001,43.650002,46.220001,46.220001,2547200
2014-08-27,46.369999,46.480000,45.509998,45.900002,45.900002,1734500
2014-08-28,45.889999,46.220001,45.099998,45.290001,45.290001,3881100
2014-08-29,48.720001,54.950001,48.549999,53.930000,53.930000,20229600
2014-09-02,53.750000,60.160000,53.360001,59.930000,59.930000,13445700
2014-09-03,60.310001,60.349998,55.299999,56.970001,56.970001,7731600
2014-09-04,57.330002,57.959999,56.080002,57.099998,57.099998,3437300
2014-09-05,56.980000,59.799999,56.320000,59.230000,59.230000,5069800
2014-09-08,58.700001,60.740002,58.540001,59.419998,59.419998,4281300
2014-09-09,59.090000,59.709999,57.220001,57.470001,57.470001,2111500
2014-09-10,57.410000,59.880001,57.000000,59.540001,59.540001,2355300
2014-09-11,58.820000,61.360001,58.360001,60.509998,60.509998,3420000
2014-09-12,60.000000,60.900002,58.959999,59.020000,59.020000,2778200
2014-09-15,58.910000,59.099998,54.000000,55.639999,55.639999,3749700
2014-09-16,55.259998,56.930000,54.779999,56.480000,56.480000,2172200
2014-09-17,56.200001,57.430000,55.790001,56.360001,56.360001,1615100
2014-09-18,56.660000,57.060001,55.759998,56.250000,56.250000,1320400
2014-09-19,56.480000,56.720001,54.820000,56.209999,56.209999,3091300
2014-09-22,56.000000,56.200001,53.750000,54.590000,54.590000,2647100
2014-09-23,54.220001,55.970001,54.099998,54.590000,54.590000,1975000
