,Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Year,Predicted using Facebook model,Predicted using Intel model,Predicted using Microsoft model,Predicted using Google model,Predicted using Apple model
0,2014-07-11,47.32,47.919998,46.209998999999996,47.240002000000004,47.240002000000004,1280200,11,7,2014,47.006513263713884,46.92978286494374,47.01753918551549,47.73264961999465,47.41322574202928
1,2014-07-14,47.57,49.25,47.5,48.029999,48.029999,1602200,14,7,2014,48.81384896471812,48.81004021028029,49.00859289845452,49.53164929998207,49.2846304590615
2,2014-07-15,47.91,48.279999,46.07,46.380001,46.380001,2163500,15,7,2014,46.914152282649326,46.780601868919504,46.84629370231279,47.25851789103413,47.26341968476959
3,2014-07-16,47.290001000000004,47.43,46.220001,46.540001000000004,46.540001000000004,1270400,16,7,2014,46.6029420288007,46.555601338970966,46.600083158435424,47.1693867549863,46.99853060240814
4,2014-07-17,46.0,46.869999,45.529999,45.779999,45.779999,1798300,17,7,2014,46.298203949604925,46.29468842979111,46.41336865144213,46.829072781418816,46.74077122047456
5,2014-07-18,46.240002000000004,47.02,45.98,46.43,46.43,1366400,18,7,2014,46.59795838442716,46.61854002871825,46.729515196937925,47.19800858610619,47.050235340284985
6,2014-07-21,46.220001,46.970001,45.400002,46.09,46.09,1323100,21,7,2014,46.17288326730747,46.14745675200092,46.25883463542371,46.61586999160715,46.59112945508919
7,2014-07-22,46.610001000000004,47.799999,46.369999,46.790001000000004,46.790001000000004,1346300,22,7,2014,47.30162619931386,47.3190934450276,47.47531150242571,47.78579253169772,47.75339511504049
8,2014-07-23,46.619999,47.689999,46.459998999999996,47.330002,47.330002,976500,23,7,2014,47.26081062727624,47.29185222670943,47.43745012305834,47.787405917368645,47.71602813921055
9,2014-07-24,47.330002,48.209998999999996,46.869999,47.919998,47.919998,1656300,24,7,2014,47.61655761241627,47.623509582641994,47.74852118236805,47.946480420306216,48.04244801796072
10,2014-07-25,47.610001000000004,48.580002,47.060001,47.880001,47.880001,1107500,25,7,2014,47.90746265466905,47.903997238600624,48.04061911595822,48.293346880969864,48.330156233672994
11,2014-07-28,47.880001,48.220001,46.459998999999996,47.189999,47.189999,1273900,28,7,2014,47.077295412878044,47.014888160034715,47.08992668120614,47.21933335162656,47.437128577712244
12,2014-07-29,47.380001,48.25,46.709998999999996,47.759997999999996,47.759997999999996,1064300,29,7,2014,47.49839959004018,47.49663853907297,47.62668072375803,47.749325590007146,47.90965694796071
13,2014-07-30,47.869999,50.970001,47.389998999999996,50.389998999999996,50.389998999999996,2748600,30,7,2014,49.94391293172063,49.89270332184175,50.24761055863678,49.9186741494125,50.38324777994579
14,2014-07-31,49.380001,49.560001,46.950001,47.02,47.02,2328900,31,7,2014,47.77624493130716,47.6214437910253,47.680241664117816,47.50054085302314,48.0588153921706
15,2014-08-01,47.099998,47.240002000000004,43.52,44.27,44.27,3810100,1,8,2014,44.80924767540807,44.51251053826187,44.537637943563496,45.01489218686045,45.101920848833856
16,2014-08-04,44.59,45.52,43.900002,45.400002,45.400002,1492100,4,8,2014,44.82014236032708,44.79588358346468,44.90805295929489,45.72540132424268,45.30696904934119
17,2014-08-05,45.060001,45.75,43.610001000000004,44.110001000000004,44.110001000000004,1830000,5,8,2014,44.59203889405518,44.502071846495156,44.590370305573785,45.30540863977221,45.027945407751034
18,2014-08-06,43.0,43.220001,41.77,42.27,42.27,2971500,6,8,2014,42.28041654500308,42.237774052803694,42.27615014882005,42.78469703143624,42.726319663102444
